"Sample","PC1","PC2"
"18158nigbel",-7.10522327639964,-31.3316660639019
"18159nigbel",-9.35207660118242,-31.0466541649438
"18162nigbel",-7.14516816233728,-26.5687068991358
"18163unibel",-9.99676554441877,-10.125948037844
"18165nigbel",-7.12359319824657,-26.0767661593824
"18171nigbel",-7.52171947275524,-34.4047831367858
"18172puebel",7.45118176934043,-10.8268269019243
"18174puebel",1.82302287113134,-7.34124609974095
"18175puebel",4.00859694797848,-2.07252607846153
"18176puebel",-0.87933225347182,-11.0336845149941
"18178puebel",1.39404608495469,-11.8099673202934
"18180puebel",0.365672074038065,-11.0989148044214
"18185nigbel",-7.71478460678348,-29.5791540145077
"18195indbel",66.3745435027206,25.8676846693747
"18222indbel",66.8749078222531,22.1039195363233
"18225indbel",63.3623192488917,23.5348143599757
"18226indbel",61.9545842863509,20.3721715668028
"18227indbel",59.2868785414006,21.2615636138764
"18237indbel",63.6499324436638,16.6794178651214
"18261unibel",-8.85213013936696,-16.365138316198
"18267unibel",-3.61735518685644,-21.188509392564
"18274unibel",-5.72399584590495,-21.1068067436662
"19881unibel",-11.4928998379102,-12.2916386393809
"20092unibel",-7.804974283624,-13.6572924337793
"20427gumhon",-40.1063558380876,50.7894040747081
"20428gumhon",-38.4171378062332,48.6143147564723
"20604nighon",-10.5164031098666,-13.0528777743563
"20605nighon",-12.0387054912945,-13.3204685044555
"20606nighon",-12.2082674069358,-15.3381549774253
"20607nighon",-12.7399216664882,-19.0737309336251
"20608nighon",-11.7235962827143,-16.3297227229199
"20609nighon",-9.1469365396655,-12.5241483487884
"20615gumhon",-38.8770250009793,49.4917874217583
"20617gumhon",-39.9436868655544,46.4073588683924
"20641gumhon",-34.7243012467868,40.5251816808123
"20642gumhon",-41.7733299287952,51.9177145698909
